                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2497,                 4.2825,                 3.7618,                0.61476,                0.09091,                0.06511,                0.02258,                 2.7949,                 4.2072,                 3.4181,             0.00055181,             0.00055181,             0.00055181
                      2,                 2.4588,                 2.8333,                 2.6331,                 0.2395,                0.41035,                0.28432,                0.13026,                 2.0272,                  4.946,                 2.1889,              0.0010855,              0.0010855,              0.0010855
                      3,                 2.0525,                  2.071,                 2.2522,                0.12315,                 0.2412,                0.08657,                0.02821,                 2.2862,                 3.7294,                  2.737,              0.0015973,              0.0015973,              0.0015973
                      4,                  1.854,                 1.7495,                 2.0537,                0.63301,                0.59493,                0.65691,                0.33762,                 1.6651,                 1.4924,                 1.9409,               0.001568,               0.001568,               0.001568
                      5,                 1.6895,                 1.5033,                 1.8895,                0.76973,                0.67064,                 0.7979,                0.44105,                 1.3156,                 1.1691,                 1.6218,               0.001535,               0.001535,               0.001535
                      6,                 1.5053,                 1.3166,                 1.7335,                0.79667,                0.73172,                0.80747,                0.43169,                 1.4605,                 1.1952,                 1.6924,               0.001502,               0.001502,               0.001502
                      7,                 1.4446,                 1.2243,                 1.6476,                0.73965,                0.71588,                0.80223,                0.47333,                 1.2078,                0.98934,                  1.495,               0.001469,               0.001469,               0.001469
                      8,                 1.3656,                 1.1529,                 1.5836,                0.78456,                0.80061,                0.86017,                0.50287,                 1.1836,                0.93554,                 1.4589,               0.001436,               0.001436,               0.001436
                      9,                 1.3025,                 1.1005,                 1.5258,                0.81602,                0.79514,                0.85382,                0.50365,                 1.1591,                0.93827,                  1.447,              0.0014029,              0.0014029,              0.0014029
                     10,                 1.2579,                 1.0313,                  1.491,                0.77914,                0.79348,                0.83533,                0.52642,                  1.093,                 1.0136,                 1.4062,              0.0013699,              0.0013699,              0.0013699
                     11,                 1.2222,                0.99542,                 1.4638,                0.53488,                0.39553,                 0.4162,                0.16922,                 2.3832,                 2.7677,                 3.2971,              0.0013369,              0.0013369,              0.0013369
                     12,                 1.1875,                0.95649,                  1.418,                0.81069,                0.82797,                0.85363,                0.53548,                 1.0643,                 0.9037,                 1.3981,              0.0013039,              0.0013039,              0.0013039
                     13,                 1.1562,                0.93727,                 1.4032,                0.77466,                0.80374,                0.82571,                0.56731,                0.95941,                0.76429,                 1.3332,              0.0012709,              0.0012709,              0.0012709
                     14,                 1.1393,                0.91893,                 1.3839,                0.82496,                0.78882,                0.84902,                0.50791,                 1.1954,                0.86932,                 1.4405,              0.0012379,              0.0012379,              0.0012379
                     15,                 1.0957,                0.87948,                  1.342,                0.85993,                0.82527,                0.89889,                  0.602,                0.93177,                0.70662,                 1.2524,              0.0012049,              0.0012049,              0.0012049
                     16,                 1.0648,                0.84054,                 1.3209,                 0.8447,                0.82801,                0.89879,                0.60794,                  0.971,                0.73366,                  1.296,              0.0011719,              0.0011719,              0.0011719
                     17,                 1.0603,                0.83499,                 1.3095,                0.46011,                0.40531,                0.39292,                0.21235,                 2.2671,                 2.6475,                 3.5099,              0.0011389,              0.0011389,              0.0011389
                     18,                 1.0582,                0.81314,                 1.3138,                0.86666,                0.85563,                0.91739,                0.61268,                0.90108,                0.66501,                 1.2272,              0.0011059,              0.0011059,              0.0011059
                     19,                 1.0351,                0.80187,                 1.2809,                0.78808,                 0.5458,                0.67361,                0.39872,                 1.1935,                 1.8002,                 1.5653,              0.0010729,              0.0010729,              0.0010729
                     20,                 1.0051,                0.78015,                 1.2625,                0.82874,                0.84062,                0.89394,                0.64073,                  0.815,                0.71399,                 1.1824,              0.0010399,              0.0010399,              0.0010399
                     21,                0.98665,                0.78386,                 1.2544,                 0.8798,                0.87327,                0.91171,                0.63451,                 0.8424,                0.66721,                  1.179,              0.0010069,              0.0010069,              0.0010069
                     22,                0.96279,                0.74514,                 1.2361,                0.79143,                0.82691,                0.87429,                0.58013,                 1.0114,                0.75453,                  1.306,             0.00097386,             0.00097386,             0.00097386
                     23,                0.94935,                0.72814,                 1.2354,                0.90344,                0.87083,                0.93738,                0.67461,                0.82497,                0.59268,                 1.2021,             0.00094085,             0.00094085,             0.00094085
                     24,                0.94574,                0.72695,                 1.2213,                0.87832,                 0.9056,                0.92806,                 0.6719,                0.81557,                0.56652,                 1.1562,             0.00090785,             0.00090785,             0.00090785
                     25,                0.92545,                0.71811,                 1.2081,                0.88174,                0.90808,                0.93596,                0.70427,                0.72028,                0.53401,                 1.1113,             0.00087484,             0.00087484,             0.00087484
                     26,                0.91442,                0.68959,                 1.1933,                0.28917,                0.16665,                0.13677,                0.07044,                 2.4168,                  3.859,                 2.8565,             0.00084184,             0.00084184,             0.00084184
